# Octopus per-turn geometric emittance, aspect=1.0 xi=0.005
turn	ex	ey
1744	2.0437394033107215e-8	2.0431037930153357e-8
1752	2.0436148960100423e-8	2.0432482620488293e-8
1760	2.0433522655513665e-8	2.0435046931130142e-8
1768	2.0432028093170074e-8	2.0435433044837527e-8
1776	2.0432869412614385e-8	2.0435376598295778e-8
1784	2.0435090903078506e-8	2.0432580527845055e-8
1792	2.043675350227459e-8	2.043084539674737e-8
1800	2.0435959304265572e-8	2.043258580802678e-8
1808	2.043361594258968e-8	2.043544272242886e-8
1816	2.043215628598211e-8	2.0436865327487428e-8
1824	2.0432861403144528e-8	2.0434884182464066e-8
1832	2.0435072900867073e-8	2.0433377059170647e-8
1840	2.043715959565827e-8	2.0431588358256603e-8
1848	2.0436914833885026e-8	2.0431999137851185e-8
1856	2.0434433539512043e-8	2.043576473550044e-8
1864	2.043234142971267e-8	2.0436849843405388e-8
1872	2.0432373832968088e-8	2.0435310242831905e-8
1880	2.0434167683382406e-8	2.0433316703790008e-8
1888	2.0436401988938065e-8	2.0431632162513418e-8
1896	2.0436870538506792e-8	2.0431655298698856e-8
1904	2.0435039609706372e-8	2.043463584932225e-8
1912	2.0432969355364774e-8	2.043665860821574e-8
1920	2.0432675332022202e-8	2.0435438496631896e-8
1928	2.0433993921610275e-8	2.0433798067157038e-8
1936	2.0435770913667578e-8	2.043271901670739e-8
1944	2.043643813913107e-8	2.0431264668108067e-8
1952	2.0435021593826696e-8	2.0433739022335358e-8
1960	2.043310688617123e-8	2.0435545547514698e-8
1968	2.0432713134648192e-8	2.0435606945945632e-8
1976	2.043388441056778e-8	2.0434201333921333e-8
1984	2.0435395570206458e-8	2.0433488440570107e-8
1992	2.0436164679957404e-8	2.043260794288224e-8
2000	2.0435294092291487e-8	2.043308342559361e-8
2008	2.0433744539687308e-8	2.0434514453837733e-8
2016	2.0433462526865445e-8	2.0435369961926993e-8
2024	2.043456898312558e-8	2.0434594118778047e-8
2032	2.0436000057496317e-8	2.0433607219235192e-8
2040	2.0436788486671897e-8	2.0433259747362476e-8
2048	2.043646515432535e-8	2.0433230834630792e-8
2056	2.043523568415223e-8	2.0434823208351805e-8
2064	2.0434533996042097e-8	2.0434723993364803e-8
2072	2.0434935602614582e-8	2.043451901008228e-8
