turn	ele_ex	ele_ey	pro_ex	pro_ey
5024	2.27061673e-08	1.68876808e-09	1.13465513e-08	1.01479772e-09
5040	2.27208794e-08	1.68701065e-09	1.13441762e-08	1.01507522e-09
5056	2.26632843e-08	1.68530436e-09	1.13423451e-08	1.01508965e-09
5072	2.26734982e-08	1.68576179e-09	1.13408693e-08	1.01487816e-09
5088	2.27189740e-08	1.68336967e-09	1.13440212e-08	1.01536672e-09
5104	2.27164602e-08	1.68573459e-09	1.13450750e-08	1.01523714e-09
5120	2.27009533e-08	1.68832130e-09	1.13443563e-08	1.01476071e-09
5136	2.26918204e-08	1.68980683e-09	1.13444924e-08	1.01507639e-09
5152	2.27255690e-08	1.69028754e-09	1.13442382e-08	1.01530992e-09
5168	2.27310954e-08	1.68825926e-09	1.13430966e-08	1.01487185e-09
5184	2.27377927e-08	1.68931993e-09	1.13429229e-08	1.01519697e-09
5200	2.26723390e-08	1.68940006e-09	1.13419042e-08	1.01487477e-09
5216	2.26703185e-08	1.68823242e-09	1.13414194e-08	1.01479296e-09
5232	2.26108516e-08	1.68470793e-09	1.13440280e-08	1.01542096e-09
5248	2.26098910e-08	1.68285395e-09	1.13442862e-08	1.01495671e-09
5264	2.26059284e-08	1.68457609e-09	1.13468286e-08	1.01495254e-09
5280	2.26079854e-08	1.68375303e-09	1.13472377e-08	1.01524007e-09
5296	2.25895000e-08	1.68379213e-09	1.13452113e-08	1.01454317e-09
5312	2.26124066e-08	1.68301200e-09	1.13431302e-08	1.01520800e-09
5328	2.26178555e-08	1.68093916e-09	1.13427799e-08	1.01524200e-09
5344	2.26066378e-08	1.68109618e-09	1.13488738e-08	1.01494727e-09
5360	2.26401483e-08	1.68153008e-09	1.13490351e-08	1.01515291e-09
5376	2.26032916e-08	1.68114909e-09	1.13424493e-08	1.01524912e-09
5392	2.26060832e-08	1.68329093e-09	1.13423840e-08	1.01550272e-09
5408	2.26513983e-08	1.68234869e-09	1.13437724e-08	1.01509036e-09
5424	2.25721370e-08	1.68322911e-09	1.13447663e-08	1.01517252e-09
5440	2.25184580e-08	1.68280952e-09	1.13450010e-08	1.01472909e-09
5456	2.24929105e-08	1.68227993e-09	1.13433180e-08	1.01553892e-09
5472	2.24816941e-08	1.67923493e-09	1.13447317e-08	1.01522490e-09
5488	2.25021609e-08	1.67893453e-09	1.13442940e-08	1.01537472e-09
5504	2.24895755e-08	1.67876813e-09	1.13448543e-08	1.01515944e-09
5520	2.25104762e-08	1.68067400e-09	1.13479612e-08	1.01486504e-09
5536	2.25157672e-08	1.68141246e-09	1.13464926e-08	1.01574753e-09
5552	2.25158487e-08	1.68457712e-09	1.13498347e-08	1.01543113e-09
5568	2.24850060e-08	1.68454171e-09	1.13511281e-08	1.01531625e-09
5584	2.24497322e-08	1.68454915e-09	1.13454339e-08	1.01520896e-09
5600	2.24956867e-08	1.68562561e-09	1.13433889e-08	1.01520021e-09
5616	2.25172603e-08	1.68638354e-09	1.13448101e-08	1.01538642e-09
5632	2.25300617e-08	1.68337669e-09	1.13447269e-08	1.01577199e-09
5648	2.25275976e-08	1.68476453e-09	1.13484071e-08	1.01544614e-09
5664	2.25473807e-08	1.68318673e-09	1.13450601e-08	1.01554334e-09
5680	2.25982028e-08	1.67982909e-09	1.13447361e-08	1.01572239e-09
5696	2.25655964e-08	1.67884890e-09	1.13455067e-08	1.01541171e-09
