turn	ele_ex	ele_ey	pro_ex	pro_ey
3680	2.26652700e-08	1.66692000e-09	1.13743000e-08	1.01053000e-09
3696	2.26822900e-08	1.66715900e-09	1.13731200e-08	1.01075100e-09
3712	2.26907900e-08	1.66718100e-09	1.13727500e-08	1.01046400e-09
3728	2.26690900e-08	1.66891600e-09	1.13744300e-08	1.01085000e-09
3744	2.26822900e-08	1.66806300e-09	1.13745800e-08	1.01073500e-09
3760	2.26780400e-08	1.66421200e-09	1.13732800e-08	1.01043400e-09
3776	2.26806400e-08	1.66177000e-09	1.13691200e-08	1.01084200e-09
3792	2.26432000e-08	1.66276100e-09	1.13717000e-08	1.01059300e-09
3808	2.26477800e-08	1.66702800e-09	1.13738000e-08	1.01080800e-09
3824	2.26608900e-08	1.67021500e-09	1.13734200e-08	1.01110500e-09
3840	2.26312600e-08	1.67282100e-09	1.13726000e-08	1.01067300e-09
3856	2.26313800e-08	1.66864800e-09	1.13729900e-08	1.01090400e-09
3872	2.26606300e-08	1.67238900e-09	1.13709500e-08	1.01044500e-09
3888	2.26950100e-08	1.67152000e-09	1.13709600e-08	1.01079700e-09
3904	2.27000000e-08	1.67279000e-09	1.13721900e-08	1.01088500e-09
3920	2.27206700e-08	1.67171500e-09	1.13686900e-08	1.01123000e-09
3936	2.27454400e-08	1.67230300e-09	1.13718200e-08	1.01042500e-09
3952	2.27363800e-08	1.67183700e-09	1.13729300e-08	1.01049700e-09
3968	2.27223600e-08	1.67355700e-09	1.13732500e-08	1.01112200e-09
3984	2.26900100e-08	1.67457200e-09	1.13762600e-08	1.01073300e-09
4000	2.27292900e-08	1.67435700e-09	1.13746000e-08	1.01073700e-09
4016	2.27306900e-08	1.67623600e-09	1.13755800e-08	1.01110400e-09
4032	2.27687700e-08	1.67564400e-09	1.13786400e-08	1.01062700e-09
4048	2.27804300e-08	1.67532300e-09	1.13733600e-08	1.01114300e-09
4064	2.27589200e-08	1.67921800e-09	1.13741100e-08	1.01063100e-09
4080	2.26879800e-08	1.67864000e-09	1.13730300e-08	1.01114800e-09
4096	2.26738500e-08	1.68114000e-09	1.13740800e-08	1.01062700e-09
4112	2.26629200e-08	1.67821400e-09	1.13765200e-08	1.01103700e-09
4128	2.26385400e-08	1.68188500e-09	1.13792900e-08	1.01096300e-09
4144	2.26289500e-08	1.68045000e-09	1.13794600e-08	1.01059500e-09
4160	2.26242500e-08	1.67937100e-09	1.13788200e-08	1.01118000e-09
